number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma_inv,params_learning_rate,params_n_epochs,params_n_steps,params_net_arch,user_attrs_gamma,user_attrs_net_arch_name,state
39,271.768461,2026-02-11 13:04:39.965764,2026-02-11 13:12:36.869682,0 days 00:07:56.903918,relu,64,0.20313407166728029,0.00835393061863416,0.9249635621533765,0.007718518343952498,0.0007966742444546997,10,512,medium,0.9922814816560475,medium,COMPLETE
40,12.6580739,2026-02-11 13:12:36.881306,2026-02-11 13:14:41.042215,0 days 00:02:04.160909,tanh,64,0.19951826523476143,0.00365519113852872,0.9243148191500029,0.005816664900813098,0.0009012698088415583,10,256,medium,0.9941833350991869,medium,PRUNED
41,138.9913066,2026-02-11 13:14:41.050937,2026-02-11 13:22:04.397842,0 days 00:07:23.346905,relu,64,0.17595891519655665,0.008914075477930649,0.9320256008608386,0.008309680525909321,0.0005777840463448397,10,512,medium,0.9916903194740907,medium,COMPLETE
42,19.470819,2026-02-11 13:22:04.409110,2026-02-11 13:24:10.733311,0 days 00:02:06.324201,relu,64,0.22907469702699823,0.000801162096717124,0.9497753529285382,0.01119310064444295,0.0004483208731793782,10,512,medium,0.9888068993555571,medium,PRUNED
43,25.4441655,2026-02-11 13:24:10.742368,2026-02-11 13:29:57.536848,0 days 00:05:46.794480,relu,64,0.15685582223701966,0.020149182706915097,0.9413129071465481,0.016307477427075112,0.0008373060154177969,10,512,medium,0.9836925225729249,medium,PRUNED
44,14.2168938,2026-02-11 13:29:57.546364,2026-02-11 13:39:45.123957,0 days 00:09:47.577593,relu,64,0.20499268361990708,0.03416899365487906,0.9211420414630083,0.01173229103138795,0.00037683866300446876,20,512,medium,0.988267708968612,medium,PRUNED
45,14.4332161,2026-02-11 13:39:45.144864,2026-02-11 13:44:07.408359,0 days 00:04:22.263495,relu,64,0.1901150895615272,0.007107238239063582,0.9015951797606426,0.005104387923607941,0.0002024533148541308,10,800,large,0.9948956120763921,large,PRUNED
46,282.76286990000006,2026-02-11 13:44:07.417525,2026-02-11 13:50:26.609002,0 days 00:06:19.191477,relu,256,0.2453748868473151,0.004336100389790487,0.9388299669805936,0.007870598249065509,0.0007598556297600514,20,512,medium,0.9921294017509344,medium,COMPLETE
47,6.905856999999999,2026-02-11 13:50:26.621965,2026-02-11 13:51:15.797521,0 days 00:00:49.175556,relu,256,0.17556883100945936,0.0037716454654395494,0.9379719807693435,0.006612538723023614,0.0007799848301191193,5,512,medium,0.9933874612769764,medium,PRUNED
48,8.490575600000001,2026-02-11 13:51:15.806365,2026-02-11 13:56:31.805953,0 days 00:05:15.999588,tanh,256,0.20942383565330594,9.628577420767076e-05,0.9314037032602038,0.008634184346394094,0.0005965172783259693,20,1024,large,0.9913658156536059,large,PRUNED
49,13.4643214,2026-02-11 13:56:31.815625,2026-02-11 13:57:40.683345,0 days 00:01:08.867720,relu,256,0.19741534408660225,0.0023932631587821854,0.92601814664685,0.011319134570193932,0.0009769356246218377,10,800,medium,0.988680865429806,medium,PRUNED
